,R,DEE,Remb,r,g,b,x,y,z
14590,5.0,57.2153,0.4829,0.610297495,0.609432312,0.607598013,0.313370847,0.329729271,0.356899882
14591,5.0,34.5244,0.4677,0.609449692,0.609642149,0.607845573,0.313096429,0.329714302,0.357189268
14592,51.9775,34.7026,0.693,0.679154108,0.61123796,0.563981604,0.341600689,0.346458815,0.311940497
14593,5.0,9.5248,0.5784,0.608553842,0.607454142,0.61049053,0.312294904,0.327854997,0.359850099
14594,5.0,61.9794,0.6725,0.609787084,0.609521087,0.60778453,0.313197569,0.329691423,0.357111009
14595,5.0,57.0869,0.606,0.610356344,0.609392715,0.607605689,0.313384588,0.32971114,0.356904272
14596,5.0,18.6099,0.7689,0.608486627,0.608525235,0.609469572,0.31249702,0.328659529,0.358843451
14597,79.6219,22.4842,0.6777,0.636698702,0.677097792,0.511180049,0.339041174,0.390970693,0.269988133
14598,5.0,80.0,0.6634,0.610237102,0.60939385,0.607668802,0.313339909,0.329687258,0.356972833
14599,100.0,15.9687,0.8003,0.635716607,0.576448559,0.624893196,0.316424373,0.310740242,0.372835386
14600,5.0,75.5918,0.7873,0.610255814,0.609389561,0.607662988,0.313346044,0.329687855,0.356966101
14601,43.8718,23.2402,0.7551,0.654268659,0.625915972,0.564140789,0.334279352,0.352136694,0.313583954
14602,71.6555,7.5334,0.8001,0.651437645,0.625865827,0.566022991,0.333105083,0.351455963,0.315438954
14603,76.212,28.5434,0.8234,0.721382282,0.587362351,0.559635178,0.355626559,0.339018455,0.305354987
14604,61.8583,80.0,0.9281,0.608892578,0.644941798,0.570238491,0.32068714,0.357679258,0.321633602
14605,76.4962,27.0802,0.6219,0.627136081,0.617971646,0.589446524,0.321661493,0.339890648,0.338447858
14606,79.9273,44.5227,0.5799,0.689733947,0.594340403,0.574809426,0.342674535,0.336234932,0.321090533
14607,69.8766,32.4301,0.4829,0.594589247,0.585293486,0.638322196,0.3025416,0.308489524,0.388968876
14608,83.1046,41.0891,0.8183,0.635009363,0.640274858,0.559869825,0.329704658,0.359404793,0.310890549
14609,100.0,37.1956,0.6318,0.682948773,0.614599855,0.557639615,0.343968513,0.34996188,0.306069607
14610,41.6639,17.947,0.4938,0.479582207,0.571560972,0.696321171,0.262973477,0.278349321,0.458677202
14611,98.2387,19.9035,0.5909,0.578993864,0.615020918,0.618201866,0.303160843,0.327752446,0.369086711
14612,40.6809,5.0,0.5541,0.666801337,0.57637063,0.607071396,0.329141487,0.31770053,0.353157983
14613,15.1078,5.0,0.5348,0.563609076,0.62548279,0.615232141,0.300113214,0.33301958,0.366867206
14614,79.1476,76.5067,0.709,0.636164471,0.651748735,0.54523902,0.332796275,0.369136694,0.298067031
14615,100.0,25.9214,0.6132,0.557769641,0.652827166,0.588826768,0.304329187,0.354214803,0.341456009
14616,42.0884,72.5961,0.6769,0.650358618,0.641341555,0.548655491,0.336127274,0.363682411,0.300190314
14617,39.5884,80.0,0.608,0.646823659,0.652622769,0.537038566,0.337280975,0.372226973,0.290492052
14618,83.952,48.7922,0.4769,0.540795015,0.631799464,0.619423461,0.293949972,0.333890748,0.37215928
14619,55.5819,38.2736,0.5106,0.742921698,0.557633827,0.573426606,0.360052958,0.323643888,0.316303154
14620,8.4891,47.7317,0.4575,0.60365403,0.607046588,0.613483071,0.31037893,0.326535917,0.363085152
14621,34.0151,27.8112,0.3,0.500042071,0.62155191,0.646452418,0.279157553,0.318844895,0.401997552
14622,18.7111,5.0,0.3,0.677834107,0.628562394,0.545101023,0.344800648,0.359716804,0.295482548
14623,49.4589,18.5712,0.5017,0.603772619,0.638426002,0.580597514,0.317292017,0.351288701,0.331419281
14624,40.9182,8.513,0.779,0.662578894,0.64121117,0.540495569,0.341154737,0.366362277,0.292482986
14625,16.4496,19.712,0.5894,0.608790486,0.612142777,0.60570111,0.313382728,0.331500279,0.355116992
14626,43.5568,8.8905,0.3,0.635008912,0.551331787,0.646611808,0.311302062,0.293155994,0.395541944
14627,69.0452,16.7952,0.5634,0.582264837,0.634581269,0.596446379,0.308616805,0.343869253,0.347513942
14628,79.9344,5.0,0.8438,0.634460273,0.682707588,0.504703574,0.339528055,0.395432388,0.265039556
14629,63.114,12.6285,0.7835,0.61666134,0.593519765,0.619558368,0.312453162,0.31906696,0.368479878
14630,84.3831,5.0,0.6305,0.637303719,0.614808603,0.586797856,0.324986449,0.339639386,0.335374165
14631,82.5013,46.6392,0.7698,0.615157797,0.61789501,0.59633919,0.317029001,0.337287411,0.345683588
14632,57.0092,36.0021,1.0,0.575577132,0.687537448,0.536126793,0.31878331,0.38764796,0.293568731
14633,64.1357,26.7546,0.6919,0.665040841,0.572915438,0.611306196,0.327717104,0.314835476,0.35744742
14634,15.5893,41.8419,1.0,0.620602219,0.611933353,0.599420539,0.317828921,0.333813533,0.348357546
14635,69.2323,50.3989,0.8365,0.652057423,0.683171765,0.490940442,0.346736192,0.399753207,0.253510601
14636,72.4914,31.4223,0.4407,0.594501128,0.639860044,0.584147388,0.314205563,0.350577668,0.335216769
14637,62.308,40.751,0.8419,0.564268791,0.719523359,0.49583454,0.323078191,0.415008613,0.261913196
14638,32.8362,53.0941,0.8618,0.616226045,0.6193181,0.594260256,0.317744858,0.338623535,0.343631607
14639,43.1569,80.0,1.0,0.645540012,0.635910317,0.558279916,0.3329385,0.35818101,0.308880491
14640,91.0046,63.9617,1.0,0.683486246,0.617710257,0.553746653,0.344874331,0.352508708,0.302616961
14641,41.7364,5.0,0.5112,0.635048429,0.574362851,0.627113012,0.315746728,0.309109021,0.375144251
14642,79.4726,5.0,0.5089,0.581161133,0.571787315,0.65626394,0.295029866,0.296148415,0.408821719
14643,58.8754,43.0769,0.7678,0.651509148,0.606745764,0.586624071,0.329004574,0.336604798,0.334390628
14644,56.8814,40.909,0.6201,0.711287389,0.568498313,0.585761555,0.347196545,0.322932971,0.329870484
14645,31.7801,63.4055,0.5618,0.633517241,0.646710913,0.553132596,0.330583563,0.364369786,0.305046651
14646,19.2187,31.6925,0.5037,0.629423974,0.641135324,0.562345937,0.3276982,0.358894893,0.313406908
14647,5.0,5.0,0.6719,0.61218265,0.612569533,0.603431014,0.314752559,0.33253381,0.352713631
14648,41.2996,51.1854,0.5761,0.737198028,0.648040933,0.470636405,0.376274869,0.390479783,0.233245348
14649,17.6533,72.2204,0.5129,0.61918739,0.622413489,0.58932218,0.319552835,0.341677639,0.338769525
14650,35.9534,21.2022,0.5896,0.676781826,0.590454705,0.587304707,0.336232189,0.330252824,0.333514988
14651,5.0,50.2018,0.5996,0.610297831,0.609388444,0.607641464,0.313361635,0.32969572,0.356942645
14652,5.0,65.0803,0.6174,0.61034333,0.609505353,0.607500647,0.313403666,0.329794771,0.356801562
14653,11.1413,43.339,1.0,0.615971855,0.606586764,0.607344265,0.314917283,0.328739802,0.356342915
14654,21.4571,60.9653,0.7652,0.636733674,0.632965627,0.567258963,0.328743464,0.353856517,0.317400019
14655,60.6108,69.0978,0.5371,0.683687538,0.586580651,0.586682841,0.338435821,0.329062436,0.332501743
14656,15.1731,80.0,0.4236,0.61552096,0.616952116,0.597112877,0.316963137,0.33662873,0.346408133
14657,10.6302,58.6725,0.9129,0.613932635,0.607537729,0.607512647,0.314342977,0.329037564,0.356619459
14658,21.9955,36.256,0.3749,0.592442148,0.642630453,0.582174385,0.314086954,0.352432349,0.333480697
14659,26.7912,55.9765,0.8486,0.661300171,0.601910365,0.585538825,0.332037459,0.335170895,0.332791647
14660,19.1569,39.2269,0.3129,0.538569762,0.608300601,0.64315101,0.288118209,0.315080804,0.396800987
14661,5.0,52.0749,0.4245,0.610157586,0.609454084,0.607651726,0.313322783,0.32971692,0.356960297
14662,29.6954,54.9123,0.4505,0.605534278,0.629217958,0.589722613,0.315885928,0.344227296,0.339886776
14663,5.0,37.2164,0.3522,0.609765423,0.60956562,0.607751893,0.313198901,0.329721071,0.357080029
14664,5.1767,22.9444,1.0,0.609111912,0.609344267,0.608323034,0.312906025,0.329415997,0.357677978
14665,47.1964,18.0193,0.7578,0.571637464,0.587813794,0.646954784,0.29489632,0.305834499,0.399269181
14666,26.0033,17.597,0.7201,0.5269891,0.608201617,0.648093857,0.284429123,0.312983949,0.402586928
14667,31.2239,28.2283,0.6904,0.489156383,0.623789904,0.648479979,0.276508852,0.318878833,0.404612315
14668,38.4047,22.5348,0.7491,0.657604428,0.638604299,0.547093967,0.338490517,0.363092398,0.298417085
14669,38.9895,15.7288,0.6866,0.649316846,0.650946716,0.537467416,0.337906635,0.371385442,0.290707923
14670,61.555,12.3552,0.7951,0.610967922,0.594764507,0.621400008,0.310548934,0.318799775,0.370651291
14671,59.9907,80.0,0.7372,0.700366196,0.614141453,0.545681477,0.351581759,0.353856272,0.294561969
14672,86.4724,5.0,0.8497,0.656198755,0.673199264,0.502500725,0.346005131,0.391920123,0.262074746
14673,5.0,59.2526,0.7016,0.609703999,0.60954438,0.607806062,0.313171265,0.329692052,0.357136683
14674,6.3701,5.0,0.8838,0.611299145,0.611761165,0.604726844,0.314245618,0.331726719,0.354027664
14675,5.0,63.5353,0.9103,0.610257602,0.60938313,0.60766842,0.313345349,0.329683298,0.356971354
14676,5.0,6.2064,0.7112,0.616869912,0.601813966,0.611533092,0.314255025,0.325310832,0.360434143
14677,45.38,19.5035,0.8153,0.652503124,0.622005648,0.569657081,0.332695052,0.348647373,0.318657574
14678,5.0,5.0,0.7975,0.613121326,0.611970114,0.603523352,0.314979553,0.332267462,0.352752985
14679,5.0,39.3448,0.373,0.609928014,0.609495808,0.607733833,0.313245228,0.329701272,0.3570535
14680,5.0,5.0,0.5686,0.613961333,0.60626705,0.608752877,0.314084785,0.328074858,0.357840357
14681,5.0,61.8142,0.6821,0.609814531,0.609514136,0.607776674,0.313206418,0.329691786,0.357101796
14682,5.0,31.0463,0.5067,0.608888175,0.609761501,0.608028487,0.31291082,0.329689546,0.357399634
14683,5.0,5.0,0.7483,0.612767197,0.612443205,0.60323936,0.314946711,0.332558258,0.352495031
14684,5.0,21.5991,0.6667,0.608706104,0.608541652,0.609335951,0.312582894,0.328717484,0.358699622
14685,5.0,5.0,0.5042,0.618528775,0.603354317,0.609129097,0.31521293,0.326824142,0.357962928
14686,5.0,58.0098,0.7694,0.609836348,0.609506034,0.607772994,0.313212903,0.329690099,0.357096998
14687,5.0,68.9778,0.5083,0.610338066,0.609548291,0.607460755,0.313410826,0.329826594,0.356762579
14688,76.7955,69.6567,0.5185,0.721099511,0.616045023,0.527495077,0.361501945,0.360572919,0.277925136
14689,46.7461,54.4408,0.8119,0.649084999,0.558346497,0.633249372,0.318287045,0.301043275,0.38066968
14690,5.0,42.3146,0.8207,0.609287561,0.609623187,0.607951562,0.313031432,0.329666174,0.357302395
14691,59.9081,63.0098,0.8481,0.658198824,0.578892468,0.609876353,0.326040481,0.317520176,0.356439343
14692,5.0,66.85,0.6813,0.6099986,0.609459762,0.607731685,0.313264126,0.329688285,0.357047589
14693,100.0,50.6812,0.4913,0.661651793,0.620953064,0.564910007,0.336255755,0.349908727,0.313835518
14694,49.0933,65.3014,0.7591,0.439916691,0.637538344,0.652582399,0.26644363,0.322659041,0.410897329
14695,83.9139,80.0,0.7294,0.656842806,0.591887601,0.598318968,0.328105714,0.32666951,0.345224775
14696,70.6786,39.5976,0.493,0.672251692,0.663661171,0.503824017,0.350462438,0.387401628,0.262135934
14697,80.7326,19.545,0.4762,0.540055607,0.665542039,0.582898228,0.301496569,0.361785602,0.336717829
14698,64.4053,24.7283,0.545,0.594870177,0.644115475,0.579157605,0.315308777,0.3541392,0.330552023
14699,100.0,11.7821,0.5787,0.692555923,0.596952573,0.570159659,0.344462839,0.338866905,0.316670256
14700,100.0,22.0998,0.3915,0.572622694,0.685096681,0.54114435,0.317148426,0.384900261,0.297951313
14701,56.9864,24.9118,0.6705,0.612316596,0.600140266,0.615592656,0.312174162,0.323097097,0.364728742
14702,13.2245,7.3544,0.5368,0.567846558,0.621615073,0.617088646,0.300713852,0.330764909,0.368521239
14703,7.4192,5.0,0.4979,0.606765504,0.621660321,0.59705658,0.314682165,0.338491865,0.34682597
14704,48.9992,8.2142,0.4725,0.497838927,0.62867823,0.640502929,0.280082888,0.324134247,0.395782865
14705,75.4937,5.0,0.5166,0.587175519,0.569653121,0.655255914,0.296754288,0.295824915,0.407420797
14706,86.7881,5.0,0.4387,0.682588991,0.603067796,0.57048606,0.341359772,0.34104803,0.317592198
14707,60.3804,19.9382,0.4685,0.582248562,0.614002386,0.617593997,0.304091912,0.327597241,0.368310846
14708,42.7988,23.0891,0.605,0.61730928,0.689711739,0.506505758,0.334591741,0.398011113,0.267397146
14709,79.1902,36.5951,0.517,0.621493827,0.636311098,0.572720571,0.323523957,0.353268302,0.32320774
14710,18.7929,44.0688,0.4173,0.615938705,0.622808931,0.590747728,0.318396765,0.341304469,0.340298766
14711,30.4607,50.8599,0.4885,0.623500189,0.633083599,0.575166398,0.323575285,0.351089157,0.325335557
14712,32.8119,36.1447,0.4026,0.747416836,0.601107297,0.523668301,0.370921279,0.356084063,0.272994658
14713,38.6431,5.7962,0.5477,0.670772968,0.590490849,0.591094917,0.33366785,0.328862351,0.337469799
14714,42.208,15.0359,0.438,0.637687621,0.57275841,0.627089956,0.316479893,0.308549385,0.374970723
14715,85.5131,20.7394,0.6345,0.577667738,0.665115526,0.5639076,0.314055783,0.368395977,0.31754824
14716,100.0,21.6912,0.659,0.463451859,0.709272037,0.562805974,0.289872931,0.388540536,0.321586533
14717,27.0244,17.8057,0.3048,0.596341248,0.65148365,0.569813888,0.317542855,0.360544188,0.321912957
14718,61.5595,29.0842,0.6228,0.616553161,0.590138281,0.622764642,0.31171851,0.316548121,0.371733369
14719,64.5968,39.7996,0.7,0.681961557,0.64747141,0.518418858,0.350858288,0.376074842,0.27306687
14720,96.7366,5.0,0.9686,0.510614398,0.652921718,0.610522934,0.289362827,0.346035101,0.364602073
14721,100.0,8.0498,0.8495,0.563375328,0.622377237,0.618466335,0.299352249,0.330522526,0.370125225
14722,5.0,10.0755,0.8101,0.609639136,0.607564342,0.60980178,0.312726092,0.328163835,0.359110073
14723,59.5932,49.3276,1.0,0.664206306,0.617388525,0.56719549,0.336551835,0.347710417,0.315737747
14724,57.5915,53.944,0.7725,0.675075042,0.598558742,0.58018908,0.33717002,0.33586546,0.32696452
14725,63.9939,15.1165,0.8426,0.522985459,0.64161107,0.61719997,0.290530752,0.338744672,0.370724577
